,Year,month,KTO_total,KTO_perc,USA_total,USA_perc,Canada_total,Canada_perc,Brazil_total,Brazil_perc,DominicanRepublic_total,DominicanRepublic_perc,Jamaica_total,Jamaica_perc,Guatemala_total,Guatemala_perc,Chile_total,Chile_perc,CostaRica_total,CostaRica_perc,Panama_total,Panama_perc,Peru_total,Peru_perc,Mexico_total,Mexico_perc,Ecuador_total,Ecuador_perc
121,,12월,1204463,0.029481952528697317,127630,0.08523374657755567,10291,-0.08288031369753146,44339,,210,0.25,22,-0.3125,1004,0.32804232804232814,1053,-0.01680672268907568,318,-0.156498673740053,291,-0.18487394957983194,,,7079,0.20268433571185862,32,0.18518518518518512
122,2014년,1월,1468903,0.03015849638824602,145109,0.06881693502055009,10459,0.002876594112570796,45522,0.026680800198470855,188,-0.10476190476190472,37,1.8461538461538463,1046,0.01850048685491723,1979,0.05828877005347599,430,0.11688311688311681,346,-0.1328320802005013,17265,0.5449664429530201,6241,0.23608635373341258,3834,12.405594405594405
123,,2월,1312683,0.10792981472931884,83750,-0.08689489751417356,8922,0.07171171171171165,,,272,0.5454545454545454,71,1.1515151515151514,616,0.0032573289902280145,1285,0.17998163452708904,278,0.1255060728744939,357,-0.16000000000000003,,,5323,0.4390375777237092,,
124,,3월,1150959,0.03322692482400402,97189,0.05011291071949531,8764,0.07204892966360865,,,182,-0.2777777777777778,28,-0.06666666666666665,681,-0.20070422535211263,1302,0.16981132075471694,372,0.05681818181818188,386,0.043243243243243246,,,6171,0.1966259453170447,,
125,,4월,1179885,0.07514442966229895,108043,0.14147614419135368,10969,0.24055643519565706,,,54,-0.6538461538461539,22,-0.38888888888888884,938,0.4818325434439179,1013,0.14076576576576572,295,0.34090909090909083,255,-0.19047619047619047,,,5933,0.35363906000456313,,
126,,5월,1223003,0.0317174299079217,119619,-0.006115242407876753,17133,0.22509831962817306,,,158,0.25396825396825395,37,-0.3392857142857143,672,-0.0561797752808989,660,-0.05848787446504988,256,-0.06227106227106227,326,0.19852941176470584,,,5650,0.2034078807241746,,
127,,6월,1270439,0.0400723378232013,133790,0.021243139679559153,20635,0.11432120099362786,,,150,-0.4755244755244755,54,-0.0847457627118644,699,-0.037190082644628086,673,0.21480144404332124,363,0.5062240663900415,239,-0.16724738675958184,,,5946,0.26537561183230474,,
128,,7월,1454795,0.026366882974865558,148996,-0.014622338912881006,28997,0.1726383047557425,,,136,-0.3982300884955752,32,0.33333333333333326,820,0.24809741248097406,803,0.22222222222222232,316,-0.030674846625766916,325,0.045016077170418,,,5227,0.11283798169044079,,
129,,8월,1547193,0.09949430992065023,150522,0.05093313411577416,20603,0.14169345007203815,,,201,-0.5410958904109588,28,0.2727272727272727,1054,0.9482439926062847,704,0.19727891156462585,397,0.2406250000000001,324,0.265625,,,5600,0.2527964205816555,,
130,,9월,1321293,0.10546435103301599,120384,-0.028448296733893375,19661,0.181692511119125,,,102,-0.02857142857142858,15,-0.6341463414634146,708,0.47807933194154484,680,0.317829457364341,275,0.10441767068273089,245,-0.1887417218543046,,,5259,0.31672508763144713,,
131,,10월,1432100,0.15571810517430196,126819,0.08170419651995897,17946,0.3732782369146006,,,145,0.03571428571428581,26,1.6,695,0.5688487584650113,1019,0.31994818652849744,298,0.33632286995515703,331,0.28793774319066157,,,7071,0.3770204479065238,,
132,,11월,1288754,0.11670929861775425,105671,-0.027507822565801532,8368,0.11901577962021936,,,162,-0.3278008298755186,38,0.6521739130434783,750,0.5182186234817814,1240,0.2849740932642486,299,-0.08841463414634143,361,0.22372881355932206,,,7064,0.14082687338501287,,
133,,12월,1430677,0.1878131582290199,133473,0.045780772545639836,11313,0.09931007676610637,,,110,-0.47619047619047616,37,0.6818181818181819,1171,0.16633466135458175,1273,0.20892687559354228,373,0.17295597484276737,385,0.32302405498281783,,,9605,0.3568300607430428,,
134,2015년,1월,1834538,0.24891704898145078,160175,0.10382540021638897,11115,0.06272110144373277,50725,0.11429638416589771,89,-0.5265957446808511,77,1.0810810810810811,1298,0.24091778202676872,3015,0.5234967155128853,461,0.0720930232558139,439,0.26878612716762995,23094,0.33761946133796705,7594,0.21679218074026596,5042,0.315075639019301
135,,2월,1445609,0.10126283344874581,118912,0.4198447761194031,9397,0.05323918403945305,,,87,-0.6801470588235294,45,-0.3661971830985915,682,0.1071428571428572,1627,0.26614785992217893,432,0.5539568345323742,441,0.23529411764705888,,,6317,0.1867368025549503,,
136,,3월,1416683,0.23087182080334748,113589,0.1687433763080184,9197,0.0494066636239161,,,191,0.0494505494505495,30,0.0714285714285714,694,0.019089574155653377,1814,0.3932411674347158,350,-0.05913978494623651,520,0.3471502590673574,,,8675,0.40576891913790303,,
137,,4월,1495460,0.2674625069392356,132226,0.223827550142073,11823,0.0778557753669431,,,115,1.1296296296296298,31,0.40909090909090917,998,0.06396588486140731,1469,0.45014807502467913,327,0.1084745762711865,329,0.29019607843137263,,,6945,0.17057138041463005,,
138,,5월,1579265,0.2913010025322914,154737,0.2935821232412912,19841,0.15805754975777742,,,95,-0.3987341772151899,26,-0.29729729729729726,677,0.007440476190476275,726,0.10000000000000009,230,-0.1015625,349,0.07055214723926384,,,7901,0.39840707964601774,,
139,,6월,1373551,0.08116249579869636,147947,0.10581508333956191,24961,0.20964380906227276,,,140,-0.06666666666666665,23,-0.5740740740740741,2902,3.1516452074391985,733,0.08915304606240704,356,-0.019283746556473802,380,0.5899581589958158,,,7535,0.267238479650185,,
140,,7월,1675332,0.1515931797950914,176272,0.1830653171897232,32107,0.10725247439390273,,,254,0.8676470588235294,34,0.0625,889,0.08414634146341471,966,0.20298879202988784,308,-0.025316455696202556,490,0.5076923076923077,,,7300,0.3965946049359097,,
