,Year,month,KTO_total,KTO_perc,SouthAfrica_total,SouthAfrica_perc,Mauritius_total,Mauritius_perc,eSwatini_total,eSwatini_perc,Seychelles_total,Seychelles_perc,Zimbabwe_total,Zimbabwe_perc,Uganda_total,Uganda_perc,SierraLeone_total,SierraLeone_perc
40,,3월,1046055,0.27,1367,0.1733905579399142,,,170,3.1463414634146343,3,-0.25,,,,,,
41,,4월,989018,0.157,1319,0.24433962264150932,,,105,0.9811320754716981,2,1,,,,,,
42,,5월,1107498,0.222,1260,0.058,,,103,0.058,1,0.058,,,,,,
43,,6월,1064076,0.162,1390,0.2954333643988816,,,124,0.569620253164557,15,,,,,,,
44,,7월,1297398,0.181,2257,0.33471318746303963,,,96,0.5,15,0.15384615384615385,,,,,,
45,,8월,1308664,0.128,2455,0.5144972239358421,,,120,-0.09090909090909091,5,,,,,,,
46,,9월,1015650,0.09,1425,0.2380538662033015,,,62,-0.17333333333333334,24,7,,,,,,
47,,10월,1078092,0.095,1655,0.11975642760487144,,,72,0.3090909090909091,14,3.6666666666666665,,,,,,
48,,11월,1072557,0.086,1249,-0.11418439716312057,,,84,0.16666666666666666,5,-0.5833333333333334,,,,,,
49,,12월,1081848,0.065,1663,0.08338762214983714,,,35,-0.6022727272727273,16,4.333333333333333,,,,,,
50,2008년,1월,1322909,0.032,2742,-0.10479921645445642,,,109,-0.05217391304347826,5,-0.6153846153846154,,,,,,
51,,2월,1132463,0.153,1794,0.3259423503325942,,,131,-0.05755395683453238,41,12.666666666666666,,,,,,
52,,3월,983589,-0.0603,1711,0.2516459400146306,,,82,-0.5176470588235295,2,-0.3333333333333333,,,,,,
53,,4월,1026750,0.038,1616,0.22517058377558757,,,5,-0.9523809523809523,5,1.5,,,,,,
54,,5월,1099977,-0.007,1410,0.11904761904761904,,,5,-0.9514563106796117,1,0,,,,,,
55,,6월,1004715,-0.056,1391,0.0007194244604316547,,,13,-0.8951612903225806,6,-0.6,,,,,,
56,,7월,1135843,-0.125,2584,0.1448825875055383,,,148,0.5416666666666666,7,-0.5333333333333333,,,,,,
57,,8월,1163809,-0.111,2213,-0.09857433808553971,,,104,-0.13333333333333333,5,0,,,,,,
58,,9월,818747,-0.194,1229,-0.1375438596491228,,,48,-0.22580645161290322,1,-0.9583333333333334,,,,,,
59,,10월,932716,-0.135,1365,-0.17522658610271905,,,45,-0.375,11,-0.21428571428571427,,,,,,
60,,11월,707012,-0.3408,998,-0.20096076861489193,,,36,-0.5714285714285714,1,-0.8,,,,,,
61,,12월,667564,-0.3829,1232,-0.25917017438364404,,,73,1.0857142857142856,6,-0.625,,,,,,
62,2009년,1월,812901,-0.386,1418,-0.48285922684172133,,,91,-0.1651376146788991,13,1.6,,,,,,
63,,2월,753642,-0.335,1055,-0.4119286510590858,,,69,-0.4732824427480916,22,-0.46341463414634143,,,,,,
64,,3월,702043,-0.286,990,-0.4213909994155465,,,87,0.060975609756097615,1,-0.5,,,,,,
65,,4월,734681,-0.284,964,-0.4034653465346535,,,78,14.6,1,-0.8,,,,,,
66,,5월,737396,-0.33,898,0.058,,,80,0.058,3,0.058,,,,,,
67,,6월,731137,-0.272,1231,-0.11502516175413371,,,155,10.923076923076923,7,0.16666666666666666,,,,,,
68,,7월,996695,-0.123,1568,-0.3931888544891641,,,177,0.19594594594594594,6,-0.14285714285714285,,,,,,
69,,8월,1041527,-0.105,1621,-0.2675101671938545,,,97,-0.0673076923076923,1,-0.8,,,,,,
70,,9월,658487,-0.196,1032,-0.16029292107404394,,,72,0.5,4,3,,,,,,
71,,10월,714880,-0.234,949,-0.3047619047619048,,,51,0.13333333333333333,6,-0.45454545454545453,,,,,,
72,,11월,721940,0.021,1259,0.26152304609218435,,,81,1.25,19,18,,,,,,
73,,12월,888782,0.331,1421,0.1534090909090909,,,93,0.273972602739726,1,-0.8333333333333334,,,,,,
74,2010년,1월,1118261,0.376,2225,0.5691114245416079,,,115,0.26373626373626374,16,0.23076923076923078,,,,,,
75,,2월,908103,0.205,1095,0.037914691943127965,,,68,-0.014492753623188406,42,0.9090909090909091,,,,,,
76,,3월,950185,0.353,1034,0.044444444444444446,,,111,0.27586206896551724,5,4,,,,,,
77,,4월,935904,0.274,927,-0.038381742738589214,,,94,0.20512820512820512,22,21,,,,,,
78,,5월,1023815,0.388,1333,0.4844097995545657,,,123,0.5375,6,1,,,,,,
79,,6월,997597,0.364,2554,1.074735987002437,,,83,-0.4645161290322581,12,0.7142857142857143,,,,,,
80,,7월,1223723,0.228,1539,-0.018494897959183673,,,137,-0.22598870056497175,25,3.1666666666666665,,,,,,
81,,8월,1235742,0.186,1876,0.15731030228254164,,,130,0.3402061855670103,16,15,,,,,,
82,,9월,1013123,0.539,1371,0.32848837209302323,,,65,-0.09722222222222222,9,1.25,,,,,,
83,,10월,1055581,0.477,1175,0.23814541622760801,,,53,0.0392156862745098,21,2.5,,,,,,
84,,11월,1004902,0.392,1142,-0.09293089753772836,,,70,-0.13580246913580246,17,-0.10526315789473684,,,,,,
85,,12월,1021428,0.149,1248,-0.12174524982406756,,,87,-0.06451612903225806,23,22,,,,,,
86,2011년,1월,1268007,0.134,1945,-0.12584269662921344,277,,133,0.15652173913043477,30,0.875,,,277,,,
87,,2월,1091628,0.20209711893915117,1236,0.12876712328767126,,,75,0.10294117647058831,37,-0.11904761904761907,,,,,,
88,,3월,868694,-0.08576329872603757,1134,0.09671179883945835,,,60,-0.45945945945945943,26,4.2,,,,,,
89,,4월,867487,-0.07310258317092351,1057,0.14023732470334416,294,,96,0.02127659574468077,25,0.13636363636363646,,,294,,,
90,,5월,1014409,-0.009187206673080586,1186,0.058,,,138,0.058,55,0.058,,,,,,
91,,6월,1053658,0.05619603908191384,1454,-0.4306969459671104,,,109,0.3132530120481928,35,1.9166666666666667,,,,,,
92,,7월,1241629,0.014632396383822155,3031,0.9694606887589343,644,,142,0.0364963503649635,41,0.64,,,644,,,
93,,8월,1247222,0.009289965057431081,1707,-0.09008528784648187,,,137,0.05384615384615385,17,0.0625,,,,,,
94,,9월,1013507,0.000379026041260538,1194,-0.12910284463894967,,,144,1.2153846153846153,37,3.111111111111111,,,,,,
95,,10월,1032589,-0.02178136969119376,1193,0.015319148936170212,443,,87,0.6415094339622641,32,0.5238095238095238,,,443,,,
96,,11월,974255,-0.030497501248878,1495,0.30910683012259194,,,70,0,61,2.588235294117647,,,,,,
97,,12월,1020648,-0.0007636367908457571,1658,0.328525641025641,,,63,-0.27586206896551724,76,2.3043478260869565,,,,,,
98,2012년,1월,1200782,-0.0530162688376326,2312,0.18868894601542416,153,,3,-0.9774436090225563,50,0.6666666666666666,1689,,2076,,26,
99,,2월,1150334,0.05377839337210112,1858,0.5032362459546925,222,,15,-0.8,78,1.1081081081081081,,,,,33,
100,,3월,1018952,0.17296999864163906,1441,0.2707231040564374,165,,67,0.11666666666666667,57,1.1923076923076923,,,,,20,
101,,4월,1018645,0.17424814435259547,1522,0.4399243140964995,234,,96,0,45,0.8,,,,,15,
102,,5월,1096950,0.08136856041300895,1151,-0.02951096121416526,136,,2,-0.9855072463768116,81,0.4727272727272727,,,,,13,
103,,6월,1109273,0.05278278150974984,1275,-0.12310866574965612,233,,112,0.027522935779816515,60,0.7142857142857143,,,,,10,
104,,7월,1305418,0.05137524977267767,2151,-0.2903332233586275,221,,131,-0.07746478873239436,25,-0.3902439024390244,,,,,15,
105,,8월,1334651,0.07009898799091101,1992,0.16695957820738136,130,,110,-0.19708029197080293,28,0.6470588235294118,,,,,8,
106,,9월,1059709,0.045586266301071425,1429,0.1968174204355109,249,,139,-0.034722222222222224,40,0.08108108108108109,,,,,38,
107,,10월,1154742,0.11829779321685588,1434,0.20201173512154233,324,,118,0.3563218390804598,100,2.125,,,,,35,
108,,11월,1117550,0.14708161620930865,1597,0.06822742474916388,345,,124,0.7714285714285715,102,0.6721311475409836,,,,,33,
109,,12월,1169970,0.1463011733722106,1655,-0.0018094089264173703,239,,69,0.09523809523809523,82,0.07894736842105263,,,,,56,
110,2013년,1월,1425900,0.18747616136817508,2581,0.11634948096885814,171,0.11764705882352941,172,56.333333333333336,44,-0.12,8463,,2391,0.15173410404624277,6,-0.7692307692307693
111,,2월,1184807,0.02996781804241203,1346,-0.2755651237890204,157,-0.2927927927927928,87,4.8,72,-0.07692307692307693,,,,,9,-0.7272727272727273
112,,3월,1113946,0.09322715888481499,1328,-0.0784177654406662,230,0.3939393939393939,136,1.0298507462686568,74,0.2982456140350877,,,,,19,-0.05
113,,4월,1097420,0.07733312390479509,1063,-0.3015768725361367,212,-0.09401709401709402,84,-0.125,47,0.044444444444444446,,,,,1,-0.9333333333333333
114,,5월,1185405,0.08063722138657185,1010,-0.12250217202432667,211,0.5514705882352942,97,47.5,70,-0.13580246913580246,,,,,10,-0.23076923076923078
115,,6월,1221491,0.10116355486881949,1187,-0.06901960784313725,223,-0.04291845493562232,132,0.17857142857142858,120,1,,,,,6,-0.4
116,,7월,1417422,0.08579933783661632,1568,-0.2710367271036727,154,-0.3031674208144796,126,-0.03816793893129771,49,0.96,,,,,10,-0.3333333333333333
117,,8월,1407186,0.05434754104256469,1605,-0.19427710843373494,119,-0.08461538461538462,177,0.6090909090909091,44,0.5714285714285714,,,,,3,-0.625
118,,9월,1195238,0.12789265732385022,1175,-0.17774667599720084,213,-0.14457831325301204,165,0.18705035971223022,103,1.575,,,,,25,-0.34210526315789475
119,,10월,1239143,0.07309078564735673,1366,-0.04741980474198047,375,0.1574074074074074,129,0.09322033898305085,108,0.08,,,,,13,-0.6285714285714286
120,,11월,1154064,0.03267325846718268,1171,-0.2667501565435191,392,0.13623188405797101,153,0.23387096774193547,83,-0.18627450980392157,,,,,10,-0.696969696969697
121,,12월,1204463,0.029481952528697317,1479,-0.10634441087613293,321,0.34309623430962344,156,1.2608695652173914,102,0.24390243902439024,,,,,3,-0.9464285714285714
122,2014년,1월,1468903,0.03015849638824602,2207,-0.14490507555211157,236,0.38011695906432746,206,0.19767441860465115,101,1.2954545454545454,5273,-0.37693489306392536,2432,0.017147636971978297,,
123,,2월,1312683,0.10792981472931884,1387,0.030460624071322436,251,0.5987261146496816,135,0.5517241379310345,96,0.33333333333333326,,,,,,
124,,3월,1150959,0.03322692482400402,1207,-0.0911144578313253,237,0.0304347826086957,134,-0.014705882352941176,92,0.2432432432432432,,,,,,
125,,4월,1179885,0.07514442966229895,1102,0.036688617121354655,348,0.6415094339622642,169,1.0119047619047619,114,1.4255319148936172,,,,,,
126,,5월,1223003,0.0317174299079217,1094,0.08316831683168317,380,0.8009478672985781,171,0.7628865979381443,112,0.6000000000000001,,,,,,
127,,6월,1270439,0.0400723378232013,1123,-0.05391743892165122,253,0.13452914798206272,201,0.5227272727272727,88,-0.2666666666666667,,,,,,
128,,7월,1454795,0.026366882974865558,1532,-0.02295918367346939,156,0.01298701298701288,229,0.8174603174603174,61,0.24489795918367352,,,,,,
129,,8월,1547193,0.09949430992065023,1503,-0.06355140186915888,121,0.01680672268907557,231,0.3050847457627119,62,0.40909090909090917,,,,,,
130,,9월,1321293,0.10546435103301599,870,-0.25957446808510637,303,0.42253521126760574,130,-0.21212121212121213,85,-0.1747572815533981,,,,,,
131,,10월,1432100,0.15571810517430196,807,-0.40922401171303074,325,-0.1333333333333333,141,0.09302325581395349,84,-0.2222222222222222,,,,,,
132,,11월,1288754,0.11670929861775425,3,-0.9974380871050385,267,-0.31887755102040816,194,0.2679738562091503,59,-0.28915662650602414,,,,,,
133,,12월,1430677,0.1878131582290199,11,-0.9925625422582827,305,-0.049844236760124616,183,0.17307692307692307,120,0.17647058823529416,,,,,,
134,2015년,1월,1834538,0.24891704898145078,1306,-0.4082464884458541,192,-0.18644067796610164,221,0.07281553398058252,95,-0.0594059405940594,5322,0.009292622795372685,1885,-0.2249177631578947,,
135,,2월,1445609,0.10126283344874581,871,-0.3720259552992069,154,-0.38645418326693226,159,0.17777777777777778,88,-0.08333333333333333,,,,,,
136,,3월,1416683,0.23087182080334748,954,-0.20961060480530241,254,0.07172995780590719,142,0.05970149253731343,73,-0.20652173913043478,,,,,,
137,,4월,1495460,0.2674625069392356,890,-0.19237749546279492,247,-0.29022988505747127,204,0.20710059171597633,96,-0.15789473684210525,,,,,,
138,,5월,1579265,0.2913010025322914,943,-0.1380255941499086,209,-0.44999999999999996,180,0.05263157894736842,162,0.44642857142857145,,,,,,
139,,6월,1373551,0.08116249579869636,801,-0.2867319679430098,276,0.09090909090909083,150,-0.2537313432835821,120,0.36363636363636365,,,,,,
140,,7월,1675332,0.1515931797950914,1448,-0.05483028720626632,197,0.2628205128205128,171,-0.25327510917030566,83,0.36065573770491804,,,,,,
141,,8월,1835249,0.18617974615965815,1434,-0.04590818363273453,182,0.5041322314049588,308,0.3333333333333333,74,0.1935483870967742,,,,,,
142,,9월,1511657,0.14407402445937426,1292,0.4850574712643678,267,-0.1188118811881188,218,0.676923076923077,116,0.36470588235294116,,,,,,
143,,10월,1735308,0.21172264506668528,1033,0.28004956629491945,442,0.3600000000000001,171,0.2127659574468086,150,0.7857142857142857,,,,,,
144,,11월,1626063,0.26173265029633275,1139,378.6666666666667,651,1.4382022471910112,183,-0.05670103092783507,175,1.9661016949152543,,,,,,
145,,12월,1781715,0.2453649565904813,1450,130.8181818181818,423,0.3868852459016394,208,0.13661202185792343,139,0.15833333333333333,,,,,,
146,2016년,1월,2112337,0.1514272258192526,2187,0.6745788667687596,381,0.984375,215,-0.02714932126696834,137,0.4421052631578947,12956,1.4344231491920332,2971,0.5761273209549072,,
147,,2월,1876928,0.29836491056710357,1409,0.6176808266360505,331,1.1493506493506493,157,-0.012578616352201255,125,0.42045454545454547,,,,,,
148,,3월,1569162,0.1076309943720648,1463,0.5335429769392033,478,0.8818897637795275,204,0.43661971830985924,104,0.4246575342465753,,,,,,
149,,4월,1636597,0.09437698099581393,1177,0.32247191011235965,546,1.210526315789474,156,-0.23529411764705888,143,0.4895833333333333,,,,,,
150,,5월,1656728,0.049050032768408025,1312,0.3913043478260869,538,1.5741626794258372,138,-0.23333333333333328,162,0,,,,,,
151,,6월,1778317,0.2946858180002052,1135,0.41697877652933824,438,0.5869565217391304,164,0.09333333333333327,142,0.18333333333333332,,,,,,
152,,7월,2086068,0.24516692810738405,1852,0.27900552486187835,243,0.23350253807106602,231,0.3508771929824561,96,0.1566265060240964,,,,,,
153,,8월,2064241,0.1247743494207052,2113,0.4735006973500697,299,0.6428571428571428,252,-0.18181818181818177,100,0.35135135135135137,,,,,,
154,,9월,1904524,0.2598916288549584,1613,0.2484520123839009,482,0.8052434456928839,238,0.09174311926605494,109,-0.0603448275862069,,,,,,
155,,10월,1865552,0.075055263964668,1241,0.20135527589545021,796,0.8009049773755657,193,0.12865497076023402,189,0.26,,,,,,
156,,11월,1825701,0.12277384086594423,1458,0.28007023705004386,924,0.4193548387096775,159,-0.1311475409836066,224,0.28,,,,,,
157,,12월,2007035,0.12646242524758455,1880,0.29655172413793096,569,0.3451536643026005,193,-0.07211538461538458,127,-0.08633093525179857,,,,,,
158,2017년,1월,2343048,0.10922073513837982,3053,0.395976223136717,462,0.21259842519685046,243,0.13023255813953494,117,-0.14598540145985406,20074,0.5493979623340537,2076,-0.30124537192864353,,
159,,2월,2231269,0.18878774252395414,2251,0.5975869410929737,496,0.49848942598187307,228,0.4522292993630572,158,0.264,,,,,,
160,,3월,1940542,0.23667409738446388,1544,0.055365686944634396,552,0.15481171548117145,107,-0.47549019607843135,119,0.14423076923076916,,,,,,
161,,4월,2003943,0.2244572121298034,1602,0.36108751062022093,657,0.20329670329670324,184,0.17948717948717952,117,-0.18181818181818177,,,,,,
162,,5월,2003834,0.2095129677291625,1334,0.0167682926829269,589,0.09479553903345717,122,-0.1159420289855072,149,-0.08024691358024694,,,,,,
163,,6월,2098126,0.17983801538195943,1165,0.026431718061673992,519,0.18493150684931514,133,-0.18902439024390238,94,-0.3380281690140845,,,,,,
164,,7월,2389447,0.14543102142403797,2088,0.12742980561555073,278,0.1440329218106995,177,-0.23376623376623373,108,0.125,,,,,,
165,,8월,2385301,0.15553416485768867,2018,-0.04495977283483199,277,-0.0735785953177257,247,-0.019841269841269882,90,-0.09999999999999998,,,,,,
166,,9월,2236500,0.08344907401800472,1691,0.048357098574085544,705,1.3578595317725752,171,-0.3214285714285714,150,0.5,,,,,,
167,,10월,2231748,0.19629364391879722,1930,0.5551974214343272,607,-0.23743718592964824,161,-0.1658031088082902,126,-0.33333333333333337,,,,,,
168,,11월,2227747,0.22021459154593215,1663,0.14060356652949246,1049,0.13528138528138522,127,-0.20125786163522008,180,-0.1964285714285714,,,,,,
169,,12월,2404942,0.19825613404848452,1834,-0.024468085106382986,667,0.17223198594024614,5,-0.9740932642487047,154,0.21259842519685046,,,,,,
170,2018년,1월,2866780,0.2235259371553635,3201,0.04847690795938431,422,-0.08658008658008653,156,-0.3580246913580247,130,0.11111111111111116,33759,0.6817276078509515,,,,
171,,2월,2311009,0.03573751080663068,1939,-0.13860506441581522,350,-0.2943548387096774,129,-0.4342105263157895,132,-0.16455696202531644,,,,,,
172,,3월,2252565,0.16079167572770903,1942,0.25777202072538863,511,-0.07427536231884058,238,1.2242990654205608,81,-0.31932773109243695,,,,,,
173,,4월,2230200,0.11290590600630845,1427,-0.1092384519350812,655,-0.0030441400304414,162,-0.11956521739130432,98,-0.16239316239316237,,,,,,
174,,5월,2331565,0.1635519708718387,1287,-0.0352323838080959,610,0.035653650254668934,145,0.18852459016393452,108,-0.2751677852348994,,,,,,
175,,6월,2323986,0.10764844437369359,1508,0.2944206008583692,529,0.019267822736030782,153,0.15037593984962405,105,0.11702127659574457,,,,,,
176,,7월,2495297,0.044298952853944806,2197,0.05220306513409967,377,0.35611510791366907,228,0.2881355932203389,90,-0.16666666666666663,,,,,,
177,,8월,2519860,0.05641174845438801,2022,0.001982160555004997,337,0.21660649819494582,258,0.044534412955465674,127,0.4111111111111112,,,,,,
178,,9월,2225756,-0.004803934719427638,1755,0.03784742755765813,489,-0.30638297872340425,160,-0.06432748538011701,132,-0.12,,,,,,
179,,10월,2347876,0.05203454870352742,1517,-0.21398963730569953,1051,0.7314662273476111,133,-0.17391304347826086,197,0.5634920634920635,,,,,,
180,,11월,2295810,0.030552392170206,1359,-0.18280216476247746,1084,0.03336510962821726,123,-0.03149606299212604,110,-0.38888888888888884,,,,,,
181,,12월,2495279,0.037563068049042414,1714,-0.06543075245365326,789,0.18290854572713644,147,28.4,125,-0.18831168831168832,,,,,,
182,2019년,1월,2912331,0.01588925554105991,3046,-0.048422368009996886,582,0.37914691943127954,195,0.25,110,-0.15384615384615385,,,,,,
183,,2월,2617946,0.13281514697692653,2148,0.10778751933986586,448,0.28,195,0.5116279069767442,89,-0.3257575757575758,,,,,,
184,,3월,2334153,0.03622004248490063,1704,-0.12255406797116375,501,-0.019569471624266144,152,-0.3613445378151261,68,-0.16049382716049387,,,,,,
185,,4월,2246417,0.007271545152901071,1145,-0.1976173791170287,673,0.027480916030534264,214,0.32098765432098775,65,-0.33673469387755106,,,,,,
186,,5월,2401204,0.029867921331809377,1126,-0.12509712509712512,542,-0.11147540983606552,152,0.048275862068965614,69,-0.36111111111111116,,,,,,
187,,6월,2495798,0.07392987737447654,1518,0.006631299734747964,567,0.07183364839319473,159,0.03921568627450989,73,-0.3047619047619048,,,,,,
188,,7월,2642585,0.059026240162994625,1699,-0.22667273554847522,333,-0.11671087533156499,210,-0.07894736842105265,60,-0.33333333333333337,,,,,,
189,,8월,2427634,-0.03659965236163909,1910,-0.05539070227497522,262,-0.2225519287833828,186,-0.2790697674418605,56,-0.5590551181102362,,,,,,
190,,9월,2049830,-0.0790410089875081,1495,-0.14814814814814814,534,0.09202453987730053,158,-0.012499999999999956,112,-0.1515151515151515,,,,,,
191,,10월,2153847,-0.0826402246115212,1243,-0.18061964403427822,952,-0.0941960038058991,143,0.07518796992481214,141,-0.2842639593908629,,,,,,
192,,11월,2090192,-0.08956228956228951,1314,-0.0331125827814569,919,-0.1522140221402214,160,0.30081300813008127,84,-0.23636363636363633,,,,,,
193,,12월,2342310,-0.061303365274985255,1599,-0.06709451575262548,759,-0.03802281368821292,185,0.2585034013605443,80,-0.36,,,,,,
194,2020년,1월,2513030,-0.13710701153131288,2078,-0.31779382797110967,400,-0.3127147766323024,99,-0.49230769230769234,79,-0.28181818181818186,,,,,,
195,,2월,1046779,-0.6001525623523174,1593,-0.2583798882681564,372,-0.1696428571428571,159,-0.18461538461538463,46,-0.4831460674157303,,,,,,
196,,3월,143366,-0.9385790048895681,276,-0.9739548928942153,3,-0.9940119760479041,55,-0.638157894736842,0.01,-0.9998529411764706,,,,,,
197,,4월,31425,-0.9860110567183208,,,0.01,-0.9999851411589896,0.01,-0.9999532710280374,0.01,-0.9998461538461538,,,,,,
198,,5월,37802,-0.9842570643727063,,,0.01,-0.9999815498154981,16,-0.8947368421052632,0.01,-0.9998550724637681,,,,,,
199,,6월,48353,-0.9806262365784411,,,0.01,-0.9999823633156967,1,-0.9937106918238994,0.01,-0.9998630136986302,,,,,,
200,,7월,65936,-0.9750486739310184,,,0,-1,8,-0.9619047619047619,0,-1,,,,,,
201,,8월,88888,-0.9633849254047356,,,0,-1,6,-0.967741935483871,0,-1,,,,,,
202,,9월,76798,-0.9625344540766795,,,0,-1,7,-0.9556962025316456,0,-1,,,,,,
203,,10월,71970,-0.9665853702700331,88,-0.9292035398230089,1,-0.9989495798319328,10,-0.9300699300699301,2,-0.9858156028368794,,,,,,
204,,11월,70686,-0.966182054088811,69,-0.9474885844748858,0,-1,13,-0.91875,0,-1,,,,,,
205,,12월,80973,-0.9654302803642558,118,-0.9262038774233896,0,-1,14,-0.9243243243243243,0,-1,,,,,,
206,2021년,1월,86143,-0.9657214597517738,234,-0.941,6,-0.985,16,-0.8383838383838383,1,-0.9873417721518988,,,,,,
207,,2월,68213,-0.9348353377360455,,,7,-0.9811827956989247,10,-0.9371069182389937,0,,,,,,,
208,,3월,73999,-0.4838455421787593,,,0,,10,-0.8181818181818181,1,,,,,,,
209,,4월,71302,1.2689578361177407,260,-93.1%*,0,,36,,1,,,,,,,
210,,5월,75416,0.9950267181630601,,,0,,30,0.875,0,,,,,,,
211,,6월,79446,0.6430417967861353,,,0,,15,14,0,,,,,,,
212,,7월,101963,0.5463934724581412,300,-93.8%*,4,,7,-0.125,3,,,,,,,
213,,8월,137712,0.5492754927549275,,,4,,28,3.666666666666667,0,,,,,,,
214,,9월,116615,0.5184640225005859,,,3,,34,3.8571428571428568,4,,,,,,,
215,,10월,124399,0.7284840905933028,178,1.022727272727273,17,16,30,2,1,-0.5,,,,,,
216,,11월,147907,1.0924511218628865,205,1.971014492753623,41,,32,1.4615384615384617,4,,,,,,,
217,,12월,139426,0.721882602842923,169,0.43220338983050843,54,,55,2.9285714285714284,3,,,,,,,
218,2022년,1월,147434,0.711502965998398,255,2.4358974358974357,6,0,64,3,6,5,,,,,,
219,,2월,112722,0.6525002565493381,200,,2,-0.7142857142857143,26,1.6,0,,,,,,,
220,,3월,145503,0.9662833281530832,349,,7,,91,8.1,8,7,,,,,,
221,,4월,215246,2.0187933017306667,369,220.9%,39,,60,0.6666666666666667,6,5,,,,,,
222,,5월,315945,3.1893629998939215,285,338.5%,63,,71,1.3666666666666667,23,,,,,,,
223,,6월,412798,4.195957002240515,395,393.8%,90,,58,2.8666666666666667,11,,,,,,,
224,,7월,674022,5.610456734305582,548,529.9%,84,20,53,6.571428571428571,,,,,,,,
225,,8월,702153,4.098705995120251,484,303.3%,86,20.5,77,1.75,,,,,,,,
226,,9월,619954,4.316245765982078,492,347.3%,148,48.333333333333336,60,0.7647058823529411,,,,,,,,
227,,10월,773480,5.217734869251361,427,1.398876404494382,200,10.764705882352942,59,0.9666666666666666,,,,,,,,
228,,11월,1041431,6.041120433786095,573,1.795121951219512,238,4.804878048780488,30,-0.0625,,,,,,,,
229,,12월,1393343,8.993423034441209,726,3.2958579881656807,208,2.8518518518518516,164,1.981818181818182,,,,,,,,
230,2023년,1월,1782313,11.088887230896537,987,2.8705882352941177,189,30.5,106,0.65625,,,,,,,,
231,,2월,1724880,14.302070580720711,941,3.705,222,110,63,1.423076923076923,,,,,,,,
